original_path,archive_path,sha256_before_move,sha256_after_move,source_exists_after_move,archive_exists_after_move,action
docs/FINAL_DRAFTS/P203B1/MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED_DRAFT_v0.1.0.md,docs/ARCHIVE/20260624_P203_FINAL_DOCS_CLEANUP/P203B4B_R2_MOVE_ONLY/docs/FINAL_DRAFTS/P203B1/MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED_DRAFT_v0.1.0.md,d7e2abec44de044940d2d72477b2171ed2a2a735346c0a8ddf2f501660c87ab3,d7e2abec44de044940d2d72477b2171ed2a2a735346c0a8ddf2f501660c87ab3,FALSE,TRUE,GIT_MV_ARCHIVE_NO_DATA_LOSS
docs/FINAL_DRAFTS/P203B1/MVP_QAIC_INSTRUCTIONS_GOVERNANCE_FINAL_FUSED_DRAFT_v0.1.0.md,docs/ARCHIVE/20260624_P203_FINAL_DOCS_CLEANUP/P203B4B_R2_MOVE_ONLY/docs/FINAL_DRAFTS/P203B1/MVP_QAIC_INSTRUCTIONS_GOVERNANCE_FINAL_FUSED_DRAFT_v0.1.0.md,19d946376a0b60b09d6d4e73875e5195ac253f263a9f29b8b3cd311cbad147e2,19d946376a0b60b09d6d4e73875e5195ac253f263a9f29b8b3cd311cbad147e2,FALSE,TRUE,GIT_MV_ARCHIVE_NO_DATA_LOSS
docs/FINAL_DRAFTS/P203B1/MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED_DRAFT_v0.1.0.md,docs/ARCHIVE/20260624_P203_FINAL_DOCS_CLEANUP/P203B4B_R2_MOVE_ONLY/docs/FINAL_DRAFTS/P203B1/MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED_DRAFT_v0.1.0.md,f660ecac9372f867377891400e6e2b8c634d439db3b2606927ac0441a700a142,f660ecac9372f867377891400e6e2b8c634d439db3b2606927ac0441a700a142,FALSE,TRUE,GIT_MV_ARCHIVE_NO_DATA_LOSS
docs/FINAL_DRAFTS/P203B1/MVP_QAIC_PROMPT_GEM_WORKFLOW_FINAL_FUSED_DRAFT_v0.1.0.md,docs/ARCHIVE/20260624_P203_FINAL_DOCS_CLEANUP/P203B4B_R2_MOVE_ONLY/docs/FINAL_DRAFTS/P203B1/MVP_QAIC_PROMPT_GEM_WORKFLOW_FINAL_FUSED_DRAFT_v0.1.0.md,52709fa4e724642cfe8483f6b57010d5faf4da9b7611379c922fa3b162a39ac7,52709fa4e724642cfe8483f6b57010d5faf4da9b7611379c922fa3b162a39ac7,FALSE,TRUE,GIT_MV_ARCHIVE_NO_DATA_LOSS
docs/FINAL_DRAFTS/P203B1/MVP_QAIC_ROADMAP_PLANNING_FINAL_FUSED_DRAFT_v0.1.0.md,docs/ARCHIVE/20260624_P203_FINAL_DOCS_CLEANUP/P203B4B_R2_MOVE_ONLY/docs/FINAL_DRAFTS/P203B1/MVP_QAIC_ROADMAP_PLANNING_FINAL_FUSED_DRAFT_v0.1.0.md,8a952956736e7a8817a4421904ac5298d7e1ebe3516b68a4990722e1bdb78da4,8a952956736e7a8817a4421904ac5298d7e1ebe3516b68a4990722e1bdb78da4,FALSE,TRUE,GIT_MV_ARCHIVE_NO_DATA_LOSS
docs/FINAL_DRAFTS/P203B1/MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED_DRAFT_v0.1.0.md,docs/ARCHIVE/20260624_P203_FINAL_DOCS_CLEANUP/P203B4B_R2_MOVE_ONLY/docs/FINAL_DRAFTS/P203B1/MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED_DRAFT_v0.1.0.md,1c4e2ea5ea49f433c523fd974a303036df2a9f03eafb26fbcc685f696777d9a8,1c4e2ea5ea49f433c523fd974a303036df2a9f03eafb26fbcc685f696777d9a8,FALSE,TRUE,GIT_MV_ARCHIVE_NO_DATA_LOSS
docs/FINAL_DRAFTS/P203B1/P203B1_LEGITIMACY_FRESHNESS_GATE.csv,docs/ARCHIVE/20260624_P203_FINAL_DOCS_CLEANUP/P203B4B_R2_MOVE_ONLY/docs/FINAL_DRAFTS/P203B1/P203B1_LEGITIMACY_FRESHNESS_GATE.csv,b68eefac0fc0f4ea37d69575dc5df44f616d95f6e0740ca074cf0811f1829e1f,b68eefac0fc0f4ea37d69575dc5df44f616d95f6e0740ca074cf0811f1829e1f,FALSE,TRUE,GIT_MV_ARCHIVE_NO_DATA_LOSS
docs/FINAL_DRAFTS/P203B1/P203B1_R2_LEGITIMACY_FRESHNESS_GATE.csv,docs/ARCHIVE/20260624_P203_FINAL_DOCS_CLEANUP/P203B4B_R2_MOVE_ONLY/docs/FINAL_DRAFTS/P203B1/P203B1_R2_LEGITIMACY_FRESHNESS_GATE.csv,1cbd3e5d321a89c58cad4bd92c1bac2a8cdd8c6fe5dc7d6b08d69c1e107f0099,1cbd3e5d321a89c58cad4bd92c1bac2a8cdd8c6fe5dc7d6b08d69c1e107f0099,FALSE,TRUE,GIT_MV_ARCHIVE_NO_DATA_LOSS
docs/FINAL_DRAFTS/P203B1/P203B1_R2_THEME_SUMMARY.csv,docs/ARCHIVE/20260624_P203_FINAL_DOCS_CLEANUP/P203B4B_R2_MOVE_ONLY/docs/FINAL_DRAFTS/P203B1/P203B1_R2_THEME_SUMMARY.csv,61653df14bf53ce369cc11d9d1d0e8a868c91af77e40216bb1bb15b4abb6e88e,61653df14bf53ce369cc11d9d1d0e8a868c91af77e40216bb1bb15b4abb6e88e,FALSE,TRUE,GIT_MV_ARCHIVE_NO_DATA_LOSS
docs/FINAL_DRAFTS/P203B1/🎨 MVP_QAIC_UI_UX_STITCH_FINAL_FUSED_DRAFT_v0.1.0.md,docs/ARCHIVE/20260624_P203_FINAL_DOCS_CLEANUP/P203B4B_R2_MOVE_ONLY/docs/FINAL_DRAFTS/P203B1/🎨 MVP_QAIC_UI_UX_STITCH_FINAL_FUSED_DRAFT_v0.1.0.md,cc0738d18dd7757ff9dc55a513bc795fc6547c01431637627ce9e4e1cf5768e5,cc0738d18dd7757ff9dc55a513bc795fc6547c01431637627ce9e4e1cf5768e5,FALSE,TRUE,GIT_MV_ARCHIVE_NO_DATA_LOSS
