"candidate_id","source_surface","current_owner","target_owner","migration_priority","migration_status","source_tabs_read","target_tabs_write_later","destructive_risk","safety_notes","evidence_refs","proposed_p103_action"
"cockpit_01_docs_00_reference_readme_mvp_qaic_py_reference_md","01_DOCS/00_REFERENCE/README_MVP_QAIC_PY_REFERENCE.md","UNKNOWN","PYTHON_LOGIC","P0","READY_FOR_P103","","QAIC_RUNTIME_COCKPIT_VIEW | QAIC_RUNTIME_BRIDGE_STATUS","LOW_READ_ONLY_SOURCE_PRESERVED","P102 selector only | no live write | do not overwrite source tabs | Python logic / Sheets surface / Apps Script facade if needed","01_DOCS/00_REFERENCE/README_MVP_QAIC_PY_REFERENCE.md","Build first Python replacement in dry-run/evidence mode; read sources only; no Sheets write unless separately approved."
"cockpit_01_docs_01_cdc_cdc_mvp_qaic_python_migration_0_1_0_md","01_DOCS/01_CDC/_CDC_MVP_QAIC_PYTHON_MIGRATION_0.1.0.md","UNKNOWN","PYTHON_LOGIC","P0","READY_FOR_P103","","QAIC_RUNTIME_COCKPIT_VIEW | QAIC_RUNTIME_BRIDGE_STATUS","LOW_READ_ONLY_SOURCE_PRESERVED","P102 selector only | no live write | do not overwrite source tabs | Python logic / Sheets surface / Apps Script facade if needed","01_DOCS/01_CDC/_CDC_MVP_QAIC_PYTHON_MIGRATION_0.1.0.md","Build first Python replacement in dry-run/evidence mode; read sources only; no Sheets write unless separately approved."
"cockpit_01_docs_01_cdc_cdc_mvp_qaic_python_migration_0_1_0_md","01_DOCS/01_CDC/📘_CDC_MVP_QAIC_PYTHON_MIGRATION_0.1.0.md","UNKNOWN","PYTHON_LOGIC","P0","READY_FOR_P103","","QAIC_RUNTIME_COCKPIT_VIEW | QAIC_RUNTIME_BRIDGE_STATUS","LOW_READ_ONLY_SOURCE_PRESERVED","P102 selector only | no live write | do not overwrite source tabs | Python logic / Sheets surface / Apps Script facade if needed","01_DOCS/01_CDC/📘_CDC_MVP_QAIC_PYTHON_MIGRATION_0.1.0.md","Build first Python replacement in dry-run/evidence mode; read sources only; no Sheets write unless separately approved."
"cockpit_01_docs_02_architecture_architecture_mvp_qaic_python_target_","01_DOCS/02_ARCHITECTURE/_ARCHITECTURE_MVP_QAIC_PYTHON_TARGET_0.1.0.md","UNKNOWN","PYTHON_LOGIC","P0","READY_FOR_P103","","QAIC_RUNTIME_COCKPIT_VIEW | QAIC_RUNTIME_BRIDGE_STATUS","LOW_READ_ONLY_SOURCE_PRESERVED","P102 selector only | no live write | do not overwrite source tabs | Python logic / Sheets surface / Apps Script facade if needed","01_DOCS/02_ARCHITECTURE/_ARCHITECTURE_MVP_QAIC_PYTHON_TARGET_0.1.0.md","Build first Python replacement in dry-run/evidence mode; read sources only; no Sheets write unless separately approved."
"cockpit_01_docs_02_architecture_architecture_mvp_qaic_python_target_","01_DOCS/02_ARCHITECTURE/🧱_ARCHITECTURE_MVP_QAIC_PYTHON_TARGET_0.1.0.md","UNKNOWN","PYTHON_LOGIC","P0","READY_FOR_P103","","QAIC_RUNTIME_COCKPIT_VIEW | QAIC_RUNTIME_BRIDGE_STATUS","LOW_READ_ONLY_SOURCE_PRESERVED","P102 selector only | no live write | do not overwrite source tabs | Python logic / Sheets surface / Apps Script facade if needed","01_DOCS/02_ARCHITECTURE/🧱_ARCHITECTURE_MVP_QAIC_PYTHON_TARGET_0.1.0.md","Build first Python replacement in dry-run/evidence mode; read sources only; no Sheets write unless separately approved."
"cockpit_01_docs_03_migration_mapping_apps_script_to_python_modules_0","01_DOCS/03_MIGRATION/_MAPPING_APPS_SCRIPT_TO_PYTHON_MODULES_0.1.0.md","UNKNOWN","PYTHON_LOGIC","P0","READY_FOR_P103","","QAIC_RUNTIME_COCKPIT_VIEW | QAIC_RUNTIME_BRIDGE_STATUS","LOW_READ_ONLY_SOURCE_PRESERVED","P102 selector only | no live write | do not overwrite source tabs | Python logic / Sheets surface / Apps Script facade if needed","01_DOCS/03_MIGRATION/_MAPPING_APPS_SCRIPT_TO_PYTHON_MODULES_0.1.0.md","Build first Python replacement in dry-run/evidence mode; read sources only; no Sheets write unless separately approved."
"cockpit_01_docs_03_migration_procedure_migration_mvp_qaic_vers_pytho","01_DOCS/03_MIGRATION/_PROCEDURE_MIGRATION_MVP_QAIC_VERS_PYTHON_0.1.0.md","UNKNOWN","PYTHON_LOGIC","P0","READY_FOR_P103","","QAIC_RUNTIME_COCKPIT_VIEW | QAIC_RUNTIME_BRIDGE_STATUS","LOW_READ_ONLY_SOURCE_PRESERVED","P102 selector only | no live write | do not overwrite source tabs | Python logic / Sheets surface / Apps Script facade if needed","01_DOCS/03_MIGRATION/_PROCEDURE_MIGRATION_MVP_QAIC_VERS_PYTHON_0.1.0.md","Build first Python replacement in dry-run/evidence mode; read sources only; no Sheets write unless separately approved."
"cockpit_01_docs_03_migration_procedure_migration_mvp_qaic_vers_pytho","01_DOCS/03_MIGRATION/🐍_PROCEDURE_MIGRATION_MVP_QAIC_VERS_PYTHON_0.1.0.md","UNKNOWN","PYTHON_LOGIC","P0","READY_FOR_P103","","QAIC_RUNTIME_COCKPIT_VIEW | QAIC_RUNTIME_BRIDGE_STATUS","LOW_READ_ONLY_SOURCE_PRESERVED","P102 selector only | no live write | do not overwrite source tabs | Python logic / Sheets surface / Apps Script facade if needed","01_DOCS/03_MIGRATION/🐍_PROCEDURE_MIGRATION_MVP_QAIC_VERS_PYTHON_0.1.0.md","Build first Python replacement in dry-run/evidence mode; read sources only; no Sheets write unless separately approved."
"cockpit_01_docs_03_migration_mapping_apps_script_to_python_modules_0","01_DOCS/03_MIGRATION/🧭_MAPPING_APPS_SCRIPT_TO_PYTHON_MODULES_0.1.0.md","UNKNOWN","PYTHON_LOGIC","P0","READY_FOR_P103","","QAIC_RUNTIME_COCKPIT_VIEW | QAIC_RUNTIME_BRIDGE_STATUS","LOW_READ_ONLY_SOURCE_PRESERVED","P102 selector only | no live write | do not overwrite source tabs | Python logic / Sheets surface / Apps Script facade if needed","01_DOCS/03_MIGRATION/🧭_MAPPING_APPS_SCRIPT_TO_PYTHON_MODULES_0.1.0.md","Build first Python replacement in dry-run/evidence mode; read sources only; no Sheets write unless separately approved."
"cockpit_05_exports_p077_p1_source_inventory_readonly_20260620_173607","05_EXPORTS/P077_P1_SOURCE_INVENTORY_READONLY_20260620_173607/P077_BOUNDED_ROOTS_STATUS.csv","SHEET_STATIC_OR_EVIDENCE","PYTHON_LOGIC","P0","READY_FOR_P103","","QAIC_RUNTIME_COCKPIT_VIEW | QAIC_RUNTIME_BRIDGE_STATUS","LOW_READ_ONLY_SOURCE_PRESERVED","P102 selector only | no live write | do not overwrite source tabs | Python logic / Sheets surface / Apps Script facade if needed","05_EXPORTS/P077_P1_SOURCE_INVENTORY_READONLY_20260620_173607/P077_BOUNDED_ROOTS_STATUS.csv","Build first Python replacement in dry-run/evidence mode; read sources only; no Sheets write unless separately approved."
